,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition_prediction
29,0,0,0,0,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,1103,349.4,146.52,-93.21,696.5,1,5712,77,-77,4.359,0.11,-0.11,1.082,0.17300000000000001,-0.13,292.16705,48.727589,15.263,Positive
47,0,0,0,0,40.4195037,0.0001139,-0.0001139,173.56468999999998,0.0022199999999999998,-0.0022199999999999998,0.9109999999999999,5.567,-0.11800000000000001,3.362,0.14,-0.14,6256.0,230.0,-230.0,7.51,1.12,-0.91,467,11.29,5.67,-3.57,36.9,1,5446,179,-163,4.507,0.11599999999999999,-0.105,0.7809999999999999,0.11599999999999999,-0.095,294.31686,50.080231,15.487,Positive
50,0,0,0,0,7.240661200000001,1.62e-05,-1.62e-05,137.75545,0.002,-0.002,1.198,49.85,-0.258,0.5579999999999999,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,734,68.63,15.32,-8.86,13.7,2,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.027999999999999997,293.83331,50.23035,15.334000000000001,Negative
51,0,0,0,0,3.43591631,4.73e-05,-4.73e-05,132.6624,0.011000000000000001,-0.011000000000000001,0.624,0.037000000000000005,-0.47600000000000003,3.133,0.40700000000000003,-0.40700000000000003,23.2,3.4,-3.4,0.55,0.08,-0.07,1272,617.61,251.11,-186.88,8.7,3,5779,104,-115,4.3389999999999995,0.132,-0.10800000000000001,1.087,0.157,-0.142,287.88732999999996,46.276241,12.790999999999999,Negative
59,0,0,0,0,1.626630225,1.02e-06,-1.02e-06,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,1547,1355.88,1105.99,-486.6,103.6,1,5735,155,-172,4.41,0.124,-0.18600000000000003,0.973,0.27,-0.145,294.36818999999997,38.31028,15.279000000000002,Negative
66,0,0,0,0,10.181583999999999,6.19e-06,-6.19e-06,177.141891,0.00048300000000000003,-0.00048300000000000003,0.92,0.006999999999999999,-0.005,3.5089,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,2.17,-0.72,812,102.91,86.75,-28.91,183.6,1,5988,179,-197,4.541,0.048,-0.192,0.836,0.23399999999999999,-0.078,291.28195,38.241669,15.657,Positive
74,0,0,0,0,9.02930689,1.65e-05,-1.65e-05,177.20422,0.0014199999999999998,-0.0014199999999999998,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,757,77.75,43.01,-22.28,53.9,1,5349,167,-167,4.526,0.063,-0.10800000000000001,0.82,0.141,-0.08199999999999999,290.33362,38.728229999999996,15.387,Positive
81,0,0,0,0,4.783002698,5.43e-06,-5.43e-06,170.50843400000002,0.0009429999999999999,-0.0009429999999999999,0.003,0.425,-0.003,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,886,145.48,66.39,-35.12,70.6,1,5170,155,-155,4.574,0.026000000000000002,-0.09699999999999999,0.807,0.111,-0.06,287.09398999999996,39.060719,15.119000000000002,Positive
113,0,0,0,0,6.54626149,2.6700000000000002e-05,-2.6700000000000002e-05,133.85963999999998,0.00317,-0.00317,0.644,0.295,-0.43799999999999994,2.75,0.111,-0.111,655.9,30.0,-30.0,2.19,0.22,-0.08,810,101.78,31.02,-14.45,24.8,3,5251,105,-105,4.581,0.01,-0.085,0.8170000000000001,0.08,-0.028999999999999998,292.23676,41.085879999999996,15.855,Positive
124,0,0,0,0,235.99863990000003,0.0002773,-0.0002773,208.399822,0.000898,-0.000898,0.778,0.006,-0.008,8.2284,0.0606,-0.0606,20715.0,91.7,-91.7,10.59,0.35,-0.52,188,0.29,0.05,-0.04,271.8,1,4245,85,-85,4.627,0.03,-0.018000000000000002,0.657,0.022000000000000002,-0.032,293.00797,42.307201,15.172,Positive
